POS,0,4A0E,0.15,-0.07,0.60,61,x09
POS,0,4A0E,0.15,-0.05,0.60,59,x09
POS,0,4A0E,0.43,0.09,0.34,81,x09
POS,0,4A0E,0.65,0.16,0.12,82,x09
POS,0,4A0E,0.80,0.19,-0.03,82,x09
POS,0,4A0E,0.91,0.29,-0.12,83,x09
POS,0,4A0E,1.00,0.32,-0.22,81,x09
POS,0,4A0E,1.05,0.31,-0.30,81,x09
POS,0,4A0E,1.11,0.34,-0.30,91,x09
POS,0,4A0E,1.15,0.34,-0.37,82,x09
POS,0,4A0E,1.18,0.37,-0.42,82,x09
POS,0,4A0E,1.20,0.31,-0.18,83,x09
POS,0,4A0E,1.21,0.33,-0.27,81,x09
POS,0,4A0E,1.22,0.34,-0.34,81,x09
POS,0,4A0E,1.23,0.36,-0.39,81,x09
POS,0,4A0E,1.59,0.52,-0.19,64,x09
POS,0,4A0E,1.84,0.64,-0.25,65,x09
POS,0,4A0E,2.03,0.74,-0.30,66,x09
POS,0,4A0E,2.18,0.79,-0.34,59,x09
